sample_id,Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
0,0.0,t+0s,0.22,8.005349993928283,,0.0,0.0165888,0.0,0.0,
1,30.0,t+30s,0.26,7.9951239441480695,,0.0,0.014745600000000001,0.0,0.0,
2,60.0,t+60s,0.16,8.001982280418934,,0.0,0.015564799999999998,0.0,0.0,
3,90.0,t+90s,0.16,8.0018839530172,,0.0,0.0161792,0.0,0.0,
4,120.0,t+120s,0.1,8.00171188006417,,0.0,0.0137216,0.0,0.0,
5,150.0,t+150s,0.06,8.005546648731748,,0.0,0.0129024,0.0,0.0,
6,180.0,t+180s,0.03,8.013240767917342,,0.0,0.0106496,0.0,0.0,
7,210.0,t+210s,0.02,8.007341123813372,,0.0,0.011264,0.0,0.0,
8,240.0,t+240s,0.09,7.829983072937791,,0.0,0.028876800000000005,0.0,0.0,
9,270.0,t+270s,0.13,7.9855124406286855,,0.0,0.0305152,0.0,0.0,
10,300.0,t+300s,0.08,7.996230127417563,,0.0,0.020070400000000002,0.0,0.0,
11,330.0,t+330s,0.12,8.00004031423471,,0.0,0.014336,0.0,0.0,
12,360.0,t+360s,0.07,8.011126728780086,,0.0,0.010444799999999999,0.0,0.0,
13,390.0,t+390s,0.1,8.008668543736766,,0.0,0.0129024,0.0,0.0,
14,420.0,t+420s,0.06,7.967788926466344,,0.0,0.0282624,0.0,0.0,
15,450.0,t+450s,0.12,7.85603983439699,,0.0,0.0673792,0.0,0.0,
16,480.0,t+480s,0.27,7.968772200483673,,0.0,0.008806399999999999,0.0,0.0,
17,510.0,t+510s,0.16,7.979858615029048,,0.0,0.0045056,0.0,0.0,
18,540.0,t+540s,0.34,7.96798558126981,,0.0,0.0096256,0.0,0.0,
19,570.0,t+570s,0.2,7.9813826897559075,,0.0,0.0169984,0.0,0.0,
20,600.0,t+600s,0.39,9.37981957905056,,0.0,0.1093632,0.0,0.0,
21,630.0,t+630s,0.44,9.568706517779315,,0.0,0.1122304,0.0,0.0,
22,660.0,t+660s,0.4,9.548057763415422,,0.0,0.116736,0.0,0.0,
23,690.0,t+690s,0.52,7.992764086506481,,0.0,0.0237568,0.0,0.0,
24,720.0,t+720s,0.37,7.943010421229673,,0.0,0.0708608,0.0,0.0,
25,750.0,t+750s,0.41,8.006751159402976,,0.0,0.017612799999999998,0.0,0.0,
26,780.0,t+780s,0.37,8.042911061390221,,0.0,0.0098304,0.0,0.0,
27,810.0,t+810s,0.22,8.028088205578998,,0.0,0.0073728000000000005,0.0,0.0,
28,840.0,t+840s,0.27,8.032783339011742,,0.0,0.0299008,0.0,0.0,
29,870.0,t+870s,0.3,8.054194130739063,,0.0,0.2131968,0.0,0.0,
30,900.0,t+900s,0.18,8.03253752050741,,0.0,0.017203200000000002,0.0,0.0,
31,930.0,t+930s,0.11,8.065845927844403,,0.0,0.027033599999999998,0.0,0.0,
32,960.0,t+960s,0.14,8.07356462888043,,0.0,0.058982400000000004,0.0,0.0,
33,990.0,t+990s,0.3,7.897976471236039,,0.0,0.0886784,0.0,0.0,
34,1020.0,t+1020s,0.44,7.9003854925784935,,0.0,0.0692224,0.0,0.0,
