Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760381942.5971599,2025-10-13T13:59:02,23.9,85.4,1711.0,0.328,0.0,0.0,0.003,System Idle Process cpu=0.0% mem=0.0% (pid=0); System cpu=0.0% mem=0.0% (pid=4);  cpu=0.0% mem=0.4% (pid=236)
1760381946.1031308,2025-10-13T13:59:06,21.2,85.4,1711.0,1.425,1.675,0.001,0.002,System Idle Process cpu=1269.7% mem=0.0% (pid=0); OneDrive.exe cpu=182.6% mem=3.0% (pid=20416); python.exe cpu=67.5% mem=0.4% (pid=9536)
1760381949.8027225,2025-10-13T13:59:09,18.6,85.5,1711.0,1.274,11.301,0.01,0.007,System Idle Process cpu=1306.6% mem=0.0% (pid=0); OneDrive.exe cpu=170.7% mem=3.0% (pid=20416); python.exe cpu=67.4% mem=0.4% (pid=9536)
1760381953.317071,2025-10-13T13:59:13,19.5,85.3,1711.0,0.188,0.774,0.002,0.003,System Idle Process cpu=1295.1% mem=0.0% (pid=0); OneDrive.exe cpu=191.5% mem=3.0% (pid=20416); python.exe cpu=66.7% mem=0.4% (pid=9536)
1760381956.9246912,2025-10-13T13:59:16,20.1,85.2,1711.0,0.037,0.578,0.006,0.009,System Idle Process cpu=1283.9% mem=0.0% (pid=0); OneDrive.exe cpu=187.3% mem=3.0% (pid=20416); python.exe cpu=69.8% mem=0.4% (pid=9536)
1760381960.7516701,2025-10-13T13:59:20,36.4,86.2,1711.0,4.153,1.335,0.042,0.108,System Idle Process cpu=1028.3% mem=0.0% (pid=0); OneDrive.exe cpu=188.1% mem=3.0% (pid=20416); python.exe cpu=70.6% mem=0.4% (pid=9536)
1760381964.3959396,2025-10-13T13:59:24,46.3,87.4,1711.0,13.642,9.654,0.135,1.955,System Idle Process cpu=865.9% mem=0.0% (pid=0); OneDrive.exe cpu=192.1% mem=3.0% (pid=20416); chrome.exe cpu=81.5% mem=1.9% (pid=26428)
1760381967.9671576,2025-10-13T13:59:27,41.4,88.3,1711.0,10.542,20.399,0.087,0.391,System Idle Process cpu=954.4% mem=0.0% (pid=0); OneDrive.exe cpu=185.9% mem=3.0% (pid=20416); python.exe cpu=68.1% mem=0.4% (pid=9536)
1760381971.4520075,2025-10-13T13:59:31,27.3,88.0,1711.0,0.27,3.793,0.014,0.086,System Idle Process cpu=1187.5% mem=0.0% (pid=0); OneDrive.exe cpu=182.3% mem=3.0% (pid=20416); python.exe cpu=67.0% mem=0.4% (pid=9536)
1760381974.8802447,2025-10-13T13:59:34,25.0,87.6,1711.0,0.02,0.754,0.007,0.012,System Idle Process cpu=1220.2% mem=0.0% (pid=0); OneDrive.exe cpu=186.9% mem=3.0% (pid=20416); python.exe cpu=67.2% mem=0.4% (pid=9536)
