Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397070.3946898,2025-10-13T18:11:10,38.0,83.0,1711.0,2.878,0.549,0.002,0.002,
1760397071.4662435,2025-10-13T18:11:11,22.1,82.9,1711.0,0.696,0.602,0.001,0.001,
1760397072.4958537,2025-10-13T18:11:12,42.3,82.7,1711.0,0.377,0.582,0.001,0.001,
1760397073.525887,2025-10-13T18:11:13,23.8,82.4,1711.0,0.033,1.245,0.0,0.0,
1760397074.5586529,2025-10-13T18:11:14,19.8,82.3,1711.0,0.0,0.487,0.0,0.0,
1760397075.5899177,2025-10-13T18:11:15,20.6,82.2,1711.0,0.025,0.078,0.0,0.0,
1760397076.6191185,2025-10-13T18:11:16,36.6,81.9,1466.0,0.0,0.254,0.0,0.0,
1760397077.6491654,2025-10-13T18:11:17,21.6,81.9,1711.0,0.0,0.168,0.001,0.002,
1760397078.6897879,2025-10-13T18:11:18,43.8,82.7,1711.0,0.474,0.27,0.0,0.0,
1760397079.71631,2025-10-13T18:11:19,100.0,84.3,1711.0,0.004,0.0,0.0,0.0,System Idle Process cpu=0.0% mem=0.0% (pid=0); System cpu=0.0% mem=0.0% (pid=4);  cpu=0.0% mem=0.4% (pid=236)
1760397083.2101352,2025-10-13T18:11:23,95.6,84.3,1711.0,0.133,0.717,0.001,0.001,OneDrive.exe cpu=155.1% mem=1.2% (pid=20416); python.exe cpu=92.5% mem=0.3% (pid=3872); python.exe cpu=91.6% mem=0.3% (pid=12144)
1760397086.3730214,2025-10-13T18:11:26,96.6,84.3,1711.0,2.367,0.557,0.001,0.002,OneDrive.exe cpu=161.6% mem=1.2% (pid=20416); python.exe cpu=96.2% mem=0.3% (pid=13852); python.exe cpu=94.1% mem=0.3% (pid=24180)
1760397089.4988668,2025-10-13T18:11:29,96.0,84.2,1711.0,1.338,0.872,0.001,0.006,OneDrive.exe cpu=143.5% mem=1.2% (pid=20416); python.exe cpu=93.5% mem=0.3% (pid=24180); python.exe cpu=90.3% mem=0.3% (pid=12144)
1760397093.1256773,2025-10-13T18:11:33,95.3,84.3,1711.0,0.181,0.291,0.001,0.001,OneDrive.exe cpu=157.1% mem=1.2% (pid=20416); python.exe cpu=96.2% mem=0.3% (pid=3872); python.exe cpu=93.2% mem=0.3% (pid=5332)
